クレマチス,1,15,5,flower,"3,4,5,6,7,8,9,10,11",TRUE,早春から晩秋にかけては、定期的に肥料を施す。緩効性肥料を真夏を除き1~2か月に1回、液体肥料月2~3回。なお植え付け時には、元肥を施す。また、冬の間に寒肥を施すと、春の新芽の生育が良くなる。,outdoor,ground,seedling,
ヤマボウシ,37,1537,4,plant,"7,8,9,10",FALSE,花期は、6月~7月、花後には果実を実らせ、果実は秋になると赤く熟します。果実は1~3㎝程度の球形で、食べることができます。,outdoor,ground,complete,
カタクリ,8,431,2,flower,"3,4,5",TRUE,生育期間が短いため、肥料は多くなくて良いです。元肥は、有機肥料を好むので、堆肥、腐葉土、ピートモスなどを土の量に対して3割くらいと緩効性の根を傷めない化成肥料をよく混ぜ合わせるようにして施します。,outdoor,ground,seedling,
アオキ,19,872,5,plant,"3,4,5",TRUE,3月に化成肥料を株元に追肥,indoor,pot,seed,
ウツギ,1,12,4,plant,"3,4,5",TRUE,晩秋から冬にかけて、株の周囲に何か所か深めの穴を掘り、堆肥などの有機物と緩効性の化成肥料を混ぜ合わしたものを地中深く施します。また、花が終わった後のお礼肥も化成肥料を地中深く施します。,outdoor,ground,seedling,
ガルトニア,47,1859,4,flower,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,春に目が出てきてから6月ごろまで、月に1~2回液体肥料を施します。,indoor,pot,bulb,
キバナコスモス,47,1857,5,flower,"3,4,5,6,7,8,9,10,11",FALSE,,veranda,pot,seed,
キキョウ,22,1017,5,flower,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,植え替え時にリン酸とカリウム多めの緩効性肥料を施す。3月~5月は月に一回、油粕と骨粉の等量配合の親指大、5号鉢で3~4回施す。6月~9月は、三要素等量の液肥を2000倍希釈を、月に2~3回施す。,veranda,pot,seed,
スパティフィラム,25,1153,4,flower,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,よく開花を咲かせるためには、十分な肥料を必要とします。春から秋の成長期には、緩効性の置き肥を規定量よりやや多めに施します。,indoor,pot,seedling,
ゼラニューム,39,1588,5,plant,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,用土に元肥としてカルシウムを含む緩効性肥料を加える。早春から初夏と、秋に追肥。液肥を水やり代わりでも良いが、開花期に肥料が多いと花茎が柔らかくなって倒れやすくなるので、緩効性肥料を置き肥すると良い。,outdoor,pot,seedling,
インパチェンス,47,1859,5,flower,"3,4,5,6,7,8,9,10,11",TRUE,次々と咲かせている時期は、追肥します。水やりの回収が頻繁な季節は微量要素が流出しやすいので、置き肥が望ましいですが、生育が緩やかな時は、窒素の少ない液体肥料を水やり代わりに施してもよいでしょう。,outdoor,pot,seedling,"花,春,一重咲き,八重咲き,日陰"
オオデマリ,18,850,4,plant,"3,4,5",TRUE,花後礼肥として、緩効性化成肥料（チッ素-リン酸Ｐ-カリＫ=10_10_10など）を落葉後11月~12月に緩効性化成肥料（N-P-K＝10_10_10）や固形の油粕を、それぞれ施します。,outdoor,ground,complete,
オステオスペルマム,47,1865,4,plant,"3,4,5,6,7,8,9,10,11",TRUE,9月中旬から5月まで、緩効性化成肥料と液体肥料を施します。液体肥料は2週間に1回施します。植付け時に元肥としてリン酸分の多い緩効性化成肥料を施します。,outdoor,pot,complete,
金のなる木,8,433,5,plant,"1,2,12",TRUE,あまり多くの肥料は必要ありません。4月~10春に規定量の半分の緩効性化成肥料か、固形の油かすを施しましょう。,indoor,pot,complete,"多肉植物,観葉植物"
レモン,12,602,4,fruit,"1,2,3,4,5,11,12",TRUE,3月、6月、10月に有機肥料か即効性化成肥料を施します。,outdoor,pot,seedling,"柑橘類,果実,花"
いちご,22,1043,3,fruit,"3,4,5",TRUE,植え付けてから1か月後、2回目は2月下旬~3月上旬、3回目は、3月下旬~4月上旬ごろに市販の野菜用培養土を使用する。,outdoor,pot,seedling,"果実,花"
温州みかん,22,1021,4,fruit,"10,11,12",TRUE,3月、6月、10月に有機肥料か即効性化成肥料を施します。,outdoor,pot,seedling,"常緑性,花,実,柑橘類"
デコポン,45,1793,4,fruit,"1,2,3,4,5,11,12",TRUE,3月、6月、10月に有機肥料か即効性化成肥料を施します。,outdoor,pot,seedling,"常緑性,花,実,柑橘類"
ほうれん草,8,426,4,vegetable,"3,4,5,6,7,8,9,10,11",TRUE,種まきの2週間前に苦土石灰を前面に散布して深く耕す。堆肥と元肥は1週間前に施しておく。,outdoor,ground,seed,"緑黄野菜,ビタミン"
小松菜,12,605,4,vegetable,"3,4,5,6,7,8,9,10,11",TRUE,種まきの2週間前に苦土石灰とよく腐熟した堆肥をに散布して深く耕す。1週間前に化成肥料を施し再度耕す。施しておく。,outdoor,ground,seed,"緑黄野菜,ビタミン"
テンドロビウム,17,831,5,flower,"3,4",TRUE,5月から7月までに施し、他の季節は肥料は施さない。長期間にわたり肥料効果のある緩効性化成肥料をさけ、固形の油かす系肥料を月に1回置き肥。さらに液体肥料も週に1回施す。,indoor,pot,complete,
ミント,12,602,5,vegetable,"3,4,5,6,7,8,9,10,11",TRUE,庭植も鉢植えも、元妃として緩効性化成肥料を施します。切り戻しや収穫のあとには、水やり代わりに薄めの液体肥料を追肥します。,veranda,pot,seed,
ワイルドストロベリー,33,1449,4,flower,"3,4,5,6,7,8,9,10,11",FALSE,,outdoor,ground,seedling,
モンステラ,13,659,5,plant,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,春から秋の生育期に、緩効性化成肥料を2か月に1回施します。冬でも新芽が動くことがあるので、そのような株には肥料を施し続けてください。,indoor,pot,complete,観葉植物
パキラ,47,1878,5,plant,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,春から秋の生育期に、緩効性化成肥料を2か月に1回施します。冬でも新芽が動くことがあるので、そのような株には肥料を施し続けてください。,indoor,pot,complete,観葉植物
スノーフレーク,1,21,5,flower,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,元肥として緩効性化成肥料を土壌に混ぜておきます。,outdoor,ground,bulb,
ツルニチニチソウ,19,869,5,flower,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,元妃として緩効性化成肥料を用土に混ぜておきます。その後の追肥は不要。,outdoor,ground,seedling,
ツワブキ,43,1730,5,flower,"1,2,3,4,5,6,7,8,9,10,11,12",FALSE,,outdoor,ground,seedling,
キンモクセイ,24,1131,4,plant,"10,11,12",TRUE,2月偈頌雲から3月に、寒肥として有機質肥料を中心に施します。,outdoor,ground,complete,
ミルクプッシュ,13,661,5,succulent,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,春から秋の生育期に、緩効性化成肥料を2~3か月に1回施します。,indoor,pot,complete,"多肉植物,観葉植物,熱帯植物"
ラズベリー,30,1383,5,fruit,"7,8,9,10",TRUE,2月に有機質肥料か速効性肥料を元肥として施し、6月、9月にも同じものを追肥します。,outdoor,ground,seedling,
ロウバイ,6,332,5,plant,"1,2,12",TRUE,成長期の4月から5月と、寒肥として12月に、緩効性化成肥料（N-P-K=10_10_10など）や有機質肥料（固形の油かすなど）を施します。未開花株には追肥として、9月上旬に標準施用量の半量を施します。,outdoor,ground,complete,
スミレ,16,818,5,flower,"1,2,3,4,5,6,7,8,9,10,11,12",FALSE,,outdoor,ground,seedling,